Job,Position,Data
Accountant job in Laxmi Nagar Delhi,Accountant,"


Laxmi Nagar, Rani Bagh, Pitampura, Azadpur, Model Town ii

₹ 10,000 to ₹ 25,000





Fresher


12th Standard
Full Time (Day)


Female

English,Hindi
English,Hindi
15 Opening (s)




Book keeping, Cash / Bank handling, Billing & Collection, Payroll, Numerical ability, MIS preparation, Email writing & Etiquette, Software, Compliance




Job Description
 




Required Book keeping, Cash / Bank handling, Billing & Collection, Payroll, Numerical ability, MIS preparation, Email writing & Etiquette, Software, Compliance







APPLY NOW



"
Accountant Job in Patliputra Patna,Accountant,"


Patliputra

₹ 8,000 to ₹ 14,000

8 Months to 2 Years

B.Com
Full Time (Day)


Any Gender

Hindi
Hindi
1 Opening (s)




Software-Tally




Job Description
 




Required Software-Tally







APPLY NOW



"
Trainer job in Bodhegaon Aurangabad Bihar,Trainer,"


Bodhegaon, nabinagar, Basdiha, Chinchadgaon, Siyadih

₹ 14,000 to ₹ 17,000





Fresher


Below 10th Standard
Full Time (Day)


Any Gender

English,Hindi
Hindi
29 Opening (s)




Good Training Style




Job Description
 




Required Good Training Style







CALL NOW



"
Designer Job in Dwarka sec. 21 Delhi,Designer,"


Dwarka sec. 21

₹ 12,000 to ₹ 17,000





Fresher


12th Standard
Full Time (Day)


Any Gender

English
Hindi
1 Opening (s)




Design-Graphic , Tool-CAD




Job Description
 




Required Design-Graphic ,Tool-CAD







CALL NOW



"
Business Analyst / Data Analyst job in Latur Latur,Business Analyst / Data Analyst,"


Latur

₹ 10,000 to ₹ 18,000






Fresher


B.Sc
Part Time (Morning)



Female


Marathi,English,Hindi
Marathi,English,Hindi
10 Opening (s)




Basics of computer




Job Description
 




Required Basics of computer 








 CALL NOW













"
Business Analyst / Data Analyst job in Latur Latur,Business Analyst / Data Analyst,"


Latur

₹ 11,000 to ₹ 18,000






Fresher


B.Sc
Part Time (Morning)



Female


Marathi,English,Hindi
Marathi,English,Hindi
12 Opening (s)




Basics of computer




Job Description
 




Required Basics of computer 








 CALL NOW













"
Trainer job in Mahesana ,Trainer,"


Mahesana

₹ 5,000 to ₹ 19,000






Fresher


12th Standard
Full Time (Day)



Female


Gujarati
Gujarati
5 Opening (s)




Good communication




Job Description
 




Required Good communication 








 CALL NOW













"
Maid / Servant job in New Ranip Ahmedabad,Maid / Servant,"


Ranip

₹ 5,000 to ₹ 9,000






Fresher


10th Standard
Any Timing



Female


Gujarati
Gujarati
2 Opening (s)




Sweeping & Moping,  Well Mannered,  Time management,  Positive attitude,  Good communication,  Others - making tea and coffee




Job Description
 




Required Sweeping & Moping, Well Mannered, Time management, Positive attitude, Good communication, Others - making tea and coffee 








 CALL NOW













"
Receptionist / Front Office job in Gota Ahmedabad,Receptionist / Front Office,"


Ranip, Sabarmati, Gota

₹ 5,000 to ₹ 20,000






Fresher


12th Standard
Full Time (Day)



Female


Gujarati
Gujarati
4 Opening (s)




Good communication




Job Description
 




Required Good communication 









 APPLY NOW












"
Housekeeping job in Mumbai,Housekeeping,"


Worli Naka

₹ 5,000 to ₹ 10,000






Fresher


Below 10th Standard
Any Timing


Male



Marathi,Hindi
Marathi,Hindi
15 Opening (s)




Kitchen cleaning




Job Description
 




Required Kitchen cleaning 








 CALL NOW













"
Sales / Marketing job in Bareilly Bareilly,Sales / Marketing,"


Bareilly

₹ 5,000 to ₹ 10,000






Fresher


12th Standard
Part Time (Afternoon)


Male



Hindi
Hindi
25 Opening (s)




Field Sales




Job Description
 




Required Field Sales 









 APPLY NOW












"
BPO / Data Entry / Computer Operator job in Dodhpur Aligarh,BPO / Data Entry / Computer Operator,"


Dodhpur, Aligarh City

₹ 5,000 to ₹ 10,000






Fresher


10th Standard
Part Time (Morning)



Female


English,Hindi
Hindi
1 Opening (s)




Basics of computer




Job Description
 




Required Basics of computer 









 APPLY NOW












"
Call Center Job in New Delhi Delhi,Call Center,"


New Delhi, Karol Bagh, Minto Road, Partap nagar, Model Town i

₹ 18,000 to ₹ 22,000






Fresher


12th Standard
Any Timing




Any Gender

Hindi,English,Urdu
Hindi,English,Urdu
98 Opening (s)




Domestic, International, Inbound




Job Description
 




Required Domestic,International,Inbound 









 APPLY NOW












"
Call Center Job in Badarpur Delhi,Call Center,"


Badarpur, Rithala, Uttam Nagar, Connaught Place, New Delhi

₹ 5,000 to ₹ 10,000






Fresher


12th Standard
Any Timing




Any Gender

Hindi,English,Urdu
Hindi,English,Urdu
98 Opening (s)




Domestic, International, Inbound




Job Description
 




Required Domestic,International,Inbound 









 APPLY NOW












"
Call Center Job in Sec-12 Noida Noida,Call Center,"


Sec-12 Noida, Sec-15 Noida, Sec-16 Noida, Noida sec. 23, Sec-62 Noida

₹ 18,000 to ₹ 22,000






Fresher


12th Standard
Any Timing




Any Gender

Hindi,English,Urdu
Hindi,English,Urdu
98 Opening (s)




Domestic, International, Inbound




Job Description
 




Domestic Inbound / Outbound voice process (Calling) for Fresher  *Salary- Upto Rs 25k * Must- Good English *Graduates/ UG * D 









 APPLY NOW












"
