Job,Position,Data
BPO / Data Entry / Computer Operator Job in Mathura Road faridabad Faridabad,BPO / Data Entry / Computer Operator,"


Mathura Road faridabad

₹ 9,000 to ₹ 10,000






Fresher


Graduation - Any Stream
Full Time (Day)


Male



Hindi,English
Hindi,English
4 Opening (s)




Technical support, Basics of computer, Good communication, Email writing & Etiquette




Job Description
 




Implementation of process control software in the manufacturing facility 

















APPLY NOW




"
Electrician Job in Sector 48 Gurgaon,Electrician,"


Sector 48

₹ 5,000 to ₹ 10,000

6 Months to 1 Year


Below 10th Standard
Any Timing




Any Gender

Hindi,English
Hindi,English
2 Opening (s)




Maintenance / repair of electrical system , Laying wiring for new building , Installing & maintaining electrical system, Voltage working-High, Voltage working-Low, UPS repair




Job Description
 




Required Maintenance / repair of electrical system ,Laying wiring for new building ,Voltage working-High,Voltage working-Low,Others 








 CALL NOW













"
Painter Job in Bangalore. Bengaluru,Painter,"


Bangalore.

₹ 16,000 to ₹ 26,000

8 Months to 1.5 Years


12th Standard
Full Time (Day)


Male



English
English
2 Opening (s)




Painting-Interior wall , Painting-Exterior wall , Painting-Portrait , Painting-Texture , Painting-Car , Painting-Industrial steel , Painting-Metallic , Painting-Wood , Painting-Spray 




Job Description
 




Required Painting-Interior wall ,Painting-Exterior wall ,Painting-Portrait ,Painting-Texture ,Painting-Car ,Painting-Industrial steel ,Painting-Metallic ,Painting-Wood ,Painting-Spray 








 CALL NOW













"
Maid / Servant Job in Dwarka sector 18a Delhi,Maid / Servant,"


Dwarka sector 18a

₹ 5,000 to ₹ 8,000

6 Months to 1 Year


Below 10th Standard
Part Time (Morning)



Female


Hindi
Hindi
1 Opening (s)




Sweeping & Moping, Kitchen cleaning, Moping machine handling, Punctual, Time management, Positive attitude




Job Description
 




Maid for household of 3 in 4 bhk flat 








 CALL NOW













"
Office Assistant / Clerk / Back Office job in Sarabha Nagar Ludhiana,Office Assistant / Clerk / Back Office,"


Sarabha Nagar

₹ 8,000 to ₹ 13,000






Fresher


12th Standard
Full Time (Day)



Female


English,Hindi
English,Hindi
10 Opening (s)




Basics of computer




Job Description
 




Required Basics of computer 









 APPLY NOW












"
BPO / Data Entry / Computer Operator Job in Munirka Delhi,BPO / Data Entry / Computer Operator,"


Munirka

₹ 5,000 to ₹ 10,000






Fresher


Below 10th Standard
Any Timing




Any Gender

Hindi,English
Hindi,English
34 Opening (s)




Domestic, International, Inbound, Outbound, Non voice, Voice, Telesales, Technical support, Non technical support, Customer support, Basics of computer, MS Excel, Analytical ability, Good communication, Proofreading, Quality assurance, Email writing & Etiquette, Typing speed-below 30 word / minute, Typing speed-30 to 40 word / minute, Typing speed-above 40 word / minute, 45




Job Description
 




Required Domestic,International,Inbound,Outbound,Non voice,Voice,Telesales,Technical support,Non technical support,Customer support,Basics of computer,MS Excel,Analytical ability,Good communication,Pr 









 APPLY NOW












"
Advertising,Sales / Marketing,"


Rohtak sector 2

₹ 5,000 to ₹ 20,000






Fresher


Graduation - Any Stream
Any Timing




Any Gender

English,Hindi
Hindi
6 Opening (s)




Brand Marketing,  Good communication,  Good confidence level




Job Description
 




Required Brand Marketing, Good communication, Good confidence level 









 APPLY NOW












"
Accountant Job in Baran Baran,Accountant,"


Baran

₹ 7,000 to ₹ 15,000

6 Months to 1 Year


Graduation - Any Stream
Full Time (Day)




Any Gender

Hindi,English
Hindi,English
1 Opening (s)




Book keeping, Cash / Bank handling, Billing & Collection, Email writing & Etiquette, Software-Tally, Software-MS Excel, Software-Busy, Compliance-TDS, Compliance-GST




Job Description
 




Required Book keeping,Cash / Bank handling,Billing & Collection,Email writing & Etiquette,Software-Tally,Software-MS Excel,Software-Busy,Compliance-TDS,Compliance-GST 









 APPLY NOW












"
110045,Delivery / Field,"


Palam Village

₹ 5,000 to ₹ 10,000






Fresher


Below 10th Standard
Any Timing




Any Gender

English,Hindi
English,Hindi
45 Opening (s)




Delivery, Collection, Credit card machine handling, Installation & Fitting, 45




Job Description
 




Required Delivery,Collection,Credit card machine handling,Installation & Fitting,Others 









 APPLY NOW












"
Tailor job in Govindpuram Ghaziabad,Tailor,"


Govindpuram

₹ 5,000 to ₹ 12,000

6 Months to 4 Years


Below 10th Standard
Full Time (Day)


Male



Hindi
Hindi
2 Opening (s)




Designing,  Pattern cutting,  Sewing machines,  Ironing,  Finishing,  Style,  Segment




Job Description
 




Required Designing, Pattern cutting, Sewing machines, Ironing, Finishing, Style, Segment 








 CALL NOW













"
Digital Marketing Job in C Scheme Jaipur,Digital Marketing,"


C Scheme

₹ 10,000 to ₹ 20,000






Fresher


12th Standard
Full Time (Day)




Any Gender

English
Hindi,English
20 Opening (s)




Basic Compoter




Job Description
 




Required Others 








 CALL NOW













"
Delivery / Field Job in Shakur Basti depot Delhi,Delivery / Field,"


Shakur Basti depot

₹ 5,000 to ₹ 10,000






Fresher


Below 10th Standard
Any Timing




Any Gender

Hindi,English
Hindi,English
34 Opening (s)




Delivery, Collection, Credit card machine handling, Installation & Fitting, 34




Job Description
 




Required Delivery,Collection,Credit card machine handling,Installation & Fitting,Others 









 APPLY NOW












"
BPO / Data Entry / Computer Operator job in South Delhi campus Delhi,BPO / Data Entry / Computer Operator,"


Dlf cyber city phase 2

₹ 5,000 to ₹ 13,000

6 Months to 8 Months


B.Com
Full Time (Day)




Any Gender

English
English
10 Opening (s)




Domestic,  International,  Inbound,  Outbound,  Non voice,  Voice,  Telesales,  Technical support,  Non technical support,  Customer support,  Basics of computer,  MS Excel,  Analytical ability,  Good communication,  Proofreading,  Quality assurance,  Email writing & Etiquette,  Typing speed,  Others - communication




Job Description
 




Required Domestic, International, Inbound, Outbound, Non voice, Voice, Telesales, Technical support, Non technical support, Customer support, Basics of computer, MS Excel, Analytical ability, Good communication, Proofreading, Quality assurance, Email writing & Etiquette, Typing speed, Others - commu 









 APPLY NOW












"
Delivery / Field Job in Najafgarh Delhi,Delivery / Field,"


Najafgarh

₹ 5,000 to ₹ 10,000






Fresher


Below 10th Standard
Any Timing




Any Gender

English,Hindi
English,Hindi
34 Opening (s)




Delivery, Collection, Credit card machine handling, Installation & Fitting, 34




Job Description
 




Required Delivery,Collection,Credit card machine handling,Installation & Fitting,Others 









 APPLY NOW












"
Sales / Marketing Job in Park Street Kolkata,Sales / Marketing,"


Park Street

₹ 5,000 to ₹ 10,000






Fresher


12th Standard
Any Timing




Any Gender

Hindi,English
Hindi,English
20 Opening (s)




Basics of computer, Promoter, Brand Marketing, Good communication, Good confidence level




Job Description
 




Required Basics of computer,Promoter,Brand Marketing,Good communication,Good confidence level 









 APPLY NOW












"
Business Analyst / Data Analyst job in Pimpri Colony Pune,Business Analyst / Data Analyst,"


Pimpri Colony

₹ 10,000 to ₹ 22,000






Fresher


12th Standard
Any Timing




Any Gender

Marathi,English,Hindi
Marathi,English,Hindi
128 Opening (s)




Others - Good communication




Job Description
 




Required Others - Good communication 








 CALL NOW













"
Office Assistant / Clerk / Back Office job in Trikuta Nagar Jammu,Office Assistant / Clerk / Back Office,"


Trikuta Nagar

₹ 5,000 to ₹ 25,000






Fresher


12th Standard
Part Time (Afternoon)




Any Gender

English,Hindi
English,Hindi
10 Opening (s)




Others - handling




Job Description
 




Required Others - handling 









 APPLY NOW












"
Sales / Marketing job in Chitradurga dist office Chitradurga,Sales / Marketing,"


Chitradurga dist office, Station Road-chitradurga, Turuvanur

₹ 15,000 to ₹ 30,000

1 Month to 8 Months


10th Standard
Full Time (Day)




Any Gender

Kannada,English
Kannada,English
30 Opening (s)




Promoter,  Distributor / Dealer sales,  Good communication,  Brand Marketing,  Good confidence level




Job Description
 




Required Promoter, Distributor / Dealer sales, Good communication, Brand Marketing, Good confidence level 









 APPLY NOW












"
Sales / Marketing job in Saroli Surat,Sales / Marketing,"


Saroli

₹ 12,000 to ₹ 18,000






Fresher


Below 10th Standard
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
45 Opening (s)




Door to door




Job Description
 




Required Door to door 









 APPLY NOW












"
Call Center Job in Utt Delhi,Call Center,"


Utt

₹ 5,000 to ₹ 12,000






Fresher


Below 10th Standard
Full Time (Day)



Female


Hindi,English
Hindi,English
20 Opening (s)




Domestic, Voice, Telesales




Job Description
 




Required Domestic,Voice,Telesales 

















APPLY NOW




"
Take Care Of Child,Caretaker / Nanny / Aaya,"


Malad West dely

₹ 5,000 to ₹ 10,000






Fresher


12th Standard
Any Timing



Female


Hindi
Hindi
1 Opening (s)




Love of Children, Good communication, Positive attitude, Punctual




Job Description
 




Required Love of Children,Good communication,Positive attitude,Punctual 








 CALL NOW













"
BPO / Data Entry / Computer Operator job in Chennai. Chennai,BPO / Data Entry / Computer Operator,"


Chennai.

₹ 5,000 to ₹ 10,000






Fresher


12th Standard
Full Time (Day)




Any Gender

Tamil
Tamil,English
10 Opening (s)




Typing speed




Job Description
 




Required Typing speed 









 APPLY NOW












"
Video Editor Job In Sector 15 Noida,Editor,"


Sector 15

₹ 12,000 to ₹ 18,000






Fresher


Graduation - Any Stream
Full Time (Day)




Any Gender

Hindi,English
Hindi,English
30 Opening (s)




Editing-Video, Editing-Audio




Job Description
 




We are looking for a talented video editor to assemble recorded footage into a finished project that matches our vision 








 CALL NOW













"
Beautician / Salon job in Vikas Puri Delhi,Beautician / Salon,"


Vikas Puri

₹ 5,000 to ₹ 14,000

6 Months to 1 Year


12th Standard
Any Timing



Female


English,Hindi
English,Hindi
1 Opening (s)




Hair removal,  Massage,  Others - others




Job Description
 




Required Hair removal, Massage, Others - others 








 CALL NOW













"
Call Center Job in Chhaprauli Bengar Noida,Call Center,"


Chhaprauli Bengar

₹ 5,000 to ₹ 20,000

6 Months to 1 Year


12th Standard
Full Time (Day)


Male



Hindi,English
Hindi,English
7 Opening (s)




Domestic, Outbound, Voice, Telesales, Good communication




Job Description
 




Required Domestic,Outbound,Voice,Telesales,Good communication 









 APPLY NOW












"
Marketing For Electronic Component/smps Power Supply,Sales / Marketing,"


Anand Vihar

₹ 8,000 to ₹ 15,000

6 Months to 1 Year


12th Standard
Full Time (Day)




Any Gender

Hindi,English
Hindi,English
2 Opening (s)




Vendor Management, Field Sales, Distributor / Dealer sales, Brand Marketing, Good communication, Good confidence level




Job Description
 




Required Vendor Management,Field Sales,Distributor / Dealer sales,Brand Marketing,Good communication,Good confidence level 









 APPLY NOW












"
Call Center Job in Secunderabad Hyderabad,Call Center,"


Secunderabad

₹ 10,000 to ₹ 14,000

6 Months to 1 Year


12th Standard
Full Time (Day)



Female


Hindi,English,Urdu
Hindi,English,Urdu,Telugu
10 Opening (s)




Domestic




Job Description
 




Telesales executive proactively initiates a call to a prospective customer  Calls can be for existing customer 









 APPLY NOW












"
Cook / Helper Job in Sanwer Link road indore Indore,Cook / Helper,"


Sanwer Link road indore

₹ 5,000 to ₹ 10,000

6 Months to 1 Year


12th Standard
Full Time (Day)


Male



Hindi
Hindi
1 Opening (s)




Kitchen cleaning, Utensils cleaning, Can cook-Veg, Can cook-North Indian, Can cook-Chinese




Job Description
 




Required Kitchen cleaning,Utensils cleaning,Can cook-Veg,Can cook-North Indian,Can cook-Chinese 








 CALL NOW













"
Lab / Medical Assistant job in K P university Kanpur Nagar,Lab / Medical Assistant,"


K P university, Kalyanpur

₹ 5,000 to ₹ 6,000

6 Months to 9 Months


12th Standard
Full Time (Day)




Any Gender

English,Hindi
Hindi
5 Opening (s)




Others - blood collection




Job Description
 




Required Others - blood collection  








 CALL NOW













"
Cook / Helper Job in Noida Sec. 38 Noida,Cook / Helper,"


Noida Sec. 38

₹ 5,000 to ₹ 9,000






Fresher


10th Standard
Full Time (Day)




Any Gender

Hindi
Hindi
2 Opening (s)




Vegetables cutting & washing, Non-veg cleaning & washing, Kitchen cleaning, Utensils cleaning, Grinding, Can cook-Veg, Can cook-Non veg




Job Description
 




UT 








 CALL NOW













"
Cook / Helper Job in Noida sec. 38 Noida,Cook / Helper,"


Noida sec. 38

₹ 5,000 to ₹ 11,000

6 Months to 1 Year


12th Standard
Full Time (Day)




Any Gender

Hindi,English
Hindi,English
2 Opening (s)




Grinding, Can cook-Veg, Can cook-Non veg, Can cook-Italian, Can make shakes,  cold coffee etc 




Job Description
 




Required Grinding,Can cook-Veg,Can cook-Non veg,Can cook-Italian,Can cook-Chinese,Others 








 CALL NOW













"
Cook / Helper Job At Nj’s Shawarma,Cook / Helper,"


Noida sec. 38

₹ 12,000 to ₹ 17,000

3 Years to 7+ Years


BHM
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
2 Opening (s)




Can cook-Veg, Can cook-Non veg, Can cook-Chinese, Should know momos making 




Job Description
 




Chef Chinese 








 CALL NOW













"
Business Analyst / Data Analyst Job in Pitampura Delhi,Business Analyst / Data Analyst,"


Pitampura

₹ 5,000 to ₹ 17,000






Fresher


10th Standard
Any Timing




Any Gender

English,Hindi
English,Hindi
23 Opening (s)




Basics of computer, MS Excel, Statistics




Job Description
 




Required Basics of computer,MS Excel,Statistics 








 CALL NOW













"
Office Assistant / Clerk / Back Office job in Shimlapuri Ludhiana,Office Assistant / Clerk / Back Office,"


Shimlapuri, Millerganj, Janta Nagar, Labour Colony, Indl colony

₹ 5,000 to ₹ 20,000






Fresher


12th Standard
Any Timing




Any Gender

Hindi
Hindi
15 Opening (s)




Basics of computer




Job Description
 




Required Basics of computer 









 APPLY NOW












"
Sales / Marketing job in Solan Solan,Sales / Marketing,"


Solan

₹ 15,000 to ₹ 20,000






Fresher


Below 10th Standard
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
5 Opening (s)




Basics of computer,  Brand Marketing




Job Description
 




Required Basics of computer, Brand Marketing 









 APPLY NOW












"
Security Guard job ,Security Guard,"


Palam Vihar

₹ 10,000 to ₹ 13,000

6 Months to 1 Year


10th Standard
Full Time (Day)


Male



English,Hindi
English,Hindi
40 Opening (s)




Frisking




Job Description
 




Required Frisking 








 CALL NOW













"
HR / Administrator Job in Kolkatta. Kolkata,HR / Administrator,"


Kolkatta., Salt lake

₹ 10,000 to ₹ 22,000






Fresher


10th Standard
Any Timing




Any Gender

Hindi,English,Bengali
Bengali
20 Opening (s)




HRMS, Candidate's screening, Hiring process, Training, Personal Management, MIS preparation, Inventory Management, Not require




Job Description
 




Required HRMS,Candidate s screening,Hiring process,Training,Personal Management,MIS preparation,Inventory Management,Others 








 CALL NOW













"
Office Boy Photos Desing,Office Boy / Peon ,"


madhu milan

₹ 5,000 to ₹ 15,000






Fresher


Below 10th Standard
Part Time (Morning)


Male



English,Hindi
English,Hindi
5 Opening (s)




Pantry work,  Basics of computer,  Delivery & Collection,  Can operate,  Inventory Management,  Maintenance & Repairs,  Cleaning & dusting,  Incoming call handling




Job Description
 




Required Pantry work, Basics of computer, Delivery & Collection, Can operate, Inventory Management, Maintenance & Repairs, Cleaning & dusting, Incoming call handling 









 APPLY NOW












"
Call Center job in Laxmi Nagar Delhi,Call Center,"


Laxmi Nagar

₹ 8,000 to ₹ 15,000






Fresher


10th Standard
Full Time (Day)



Female


Hindi
Hindi
100 Opening (s)




Outbound




Job Description
 




Required Outbound 









 APPLY NOW












"
Retail Sales job in Perambur Chennai,Retail Sales,"


Perambur

₹ 8,000 to ₹ 12,000






Fresher


12th Standard
Full Time (Day)




Any Gender

Tamil
Tamil
3 Opening (s)




Stock handling,  Invoicing / Billing,  Basics of computer




Job Description
 




Required Stock handling, Invoicing / Billing, Basics of computer 









 APPLY NOW












"
Ladies Suits Designer,Tailor,"


Jhilmil

₹ 5,000 to ₹ 20,000

1 Year to 7+ Years


10th Standard
Full Time (Day)




Any Gender

Punjabi
Hindi,English,Punjabi
5 Opening (s)




Designing, Pattern cutting, Sewing machines, Ironing, Finishing, Style-Indian, Segment-ladies




Job Description
 




Required Designing,Pattern cutting,Sewing machines,Ironing,Finishing,Style-Indian,Segment-ladies 








 CALL NOW













"
Sales / Marketing job in Mumbai. Mumbai,Sales / Marketing,"


Mumbai.

₹ 9,000 to ₹ 15,000

6 Months to 1 Year


12th Standard
Full Time (Day)


Male



English,Hindi
English,Hindi
6 Opening (s)




Field Sales,  Good communication,  Brand Marketing,  Good confidence level




Job Description
 




Required Field Sales, Good communication, Brand Marketing, Good confidence level 









 APPLY NOW












"
Hospitality / Steward / Waiter job in Mumbai. Mumbai,Hospitality / Steward / Waiter,"


Mumbai.

₹ 9,000 to ₹ 14,000






Fresher


Below 10th Standard
Full Time (Day)


Male



English,Hindi
English,Hindi
5 Opening (s)




Serving tables




Job Description
 




Required Serving tables 








 CALL NOW













"
Insurance Consultant job in Mumbai. Mumbai,Insurance Consultant,"


Mumbai.

₹ 10,000 to ₹ 15,000

6 Months to 1 Year


12th Standard
Full Time (Day)


Male



English,Hindi
English,Hindi
5 Opening (s)




Others - insurance consultant




Job Description
 




age limit 40 to 55 








 CALL NOW













"
Data Collection / Survey job in Mumbai. Mumbai,Data Collection / Survey,"


Mumbai.

₹ 8,000 to ₹ 14,000






Fresher


Below 10th Standard
Part Time (Afternoon)




Any Gender

English,Hindi
English,Hindi
5 Opening (s)




Data collection




Job Description
 




Required Data collection 








 CALL NOW













"
Call Center job in Mumbai. Mumbai,Call Center,"


Mumbai.

₹ 10,000 to ₹ 18,000






Fresher


10th Standard
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
5 Opening (s)




Domestic,  International




Job Description
 




Required Domestic, International 









 APPLY NOW












"
Public Relations job in Ampinagar South Tripura,Public Relations,"


Ampinagar

₹ 17,000 to ₹ 26,000






Fresher


B.Com
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
25 Opening (s)




Public Relations,  Email writing & Etiquette,  Corporate communications




Job Description
 




Required Public Relations, Email writing & Etiquette, Corporate communications 








 CALL NOW













"
Lab / Medical Assistant job in Mukundpur Delhi,Lab / Medical Assistant,"


Mukundpur

₹ 5,000 to ₹ 35,000






Fresher


12th Standard
Full Time (Day)


Male



Hindi
Hindi
1 Opening (s)




Department




Job Description
 




Required Department 








 CALL NOW













"
Helper,Cook / Helper,"


Mukundpur

₹ 5,000 to ₹ 10,000






Fresher


12th Standard
Full Time (Day)


Male



Hindi
Hindi
1 Opening (s)




Can cook




Job Description
 




Required Can cook 








 CALL NOW













"
Business Analyst / Data Analyst job in Guru Nanak nagar Jammu,Business Analyst / Data Analyst,"


Guru Nanak nagar

₹ 18,000 to ₹ 27,000






Fresher


12th Standard
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
15 Opening (s)




Ratio analysis,  Variance analysis,  Basics of computer




Job Description
 




Required Ratio analysis, Variance analysis, Basics of computer 








 CALL NOW













"
BPO / Data Entry / Computer Operator job in Jeevanahalli Bengaluru,BPO / Data Entry / Computer Operator,"


Jeevanahalli

₹ 24,000 to ₹ 31,000






Fresher


Graduation - Any Stream
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
5 Opening (s)




Good communication,  Proofreading,  Email writing & Etiquette




Job Description
 




Required Good communication, Proofreading, Email writing & Etiquette 









 APPLY NOW












"
Cook For PG,Cook / Helper,"


Chattarpur

₹ 5,000 to ₹ 15,000

6 Months to 7+ Years


Below 10th Standard
Any Timing




Any Gender

Hindi
Hindi
1 Opening (s)




Can cook,  Kitchen cleaning,  Vegetables cutting & washing,  Utensils cleaning




Job Description
 




Required Can cook, Kitchen cleaning, Vegetables cutting & washing, Utensils cleaning 








 CALL NOW













"
Tailor Master,Designer,"


Ghansoli

₹ 5,000 to ₹ 10,000

6 Months to 1 Year


10th Standard
Full Time (Day)


Male



Hindi
Hindi
1 Opening (s)




Design-Apparel




Job Description
 




Pattern making ,cutting and stitching 








 CALL NOW













"
BPO / Data Entry / Computer Operator Job in Dr.Mukerjee nagar Delhi,BPO / Data Entry / Computer Operator,"


Dr.Mukerjee nagar, Rajender Nagar, Narela, Pahar Ganj, Indirapuram

₹ 14,000 to ₹ 22,000






Fresher


10th Standard
Any Timing




Any Gender

English,Hindi
English,Hindi
120 Opening (s)




Domestic, International, Inbound, Outbound, Non voice, Voice, Telesales, Customer support




Job Description
 




Required Domestic,International,Inbound,Outbound,Non voice,Voice,Telesales,Customer support 










 APPLY NOW











"
Digital Marketing job in Solan Brewery Solan,Digital Marketing,"


Solan, Solan

₹ 15,000 to ₹ 25,000






Fresher


12th Standard
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
30 Opening (s)




Marketing Platform




Job Description
 




Required Marketing Platform 








 CALL NOW













"
Digital Marketing job in Navi Mumbai/ Mumbai,Digital Marketing,"


mumbai, Mumbai.

₹ 20,000 to ₹ 22,000






Fresher


Below 10th Standard
Any Timing




Any Gender

English,Hindi
English,Hindi
50 Opening (s)




Marketing Platform




Job Description
 




Required Marketing Platform 








 CALL NOW













"
"Accountant Job in Rithila, Rohini Delhi",Accountant,"


Rithila, Rohini

₹ 15,000 to ₹ 25,000

2 Years to 5 Years


B.Com
Full time - Day




Any Gender

Hindi,English
Hindi,English
3 Opening (s)




Billing & Collection, Software-Tally, Software-ERP, Software-MS Excel, Compliance-TDS, Compliance-GST




Job Description
 




Required Billing & Collection,Software-Tally,Software-ERP,Software-MS Excel,Compliance-TDS,Compliance-GST 










 APPLY NOW











"
Retail Sales Job in Kriti Nagar Delhi,Retail Sales,"


Kriti Nagar

₹ 14,000 to ₹ 18,000

1 Year to 1.5 Years


12th Standard
Full Time (Day)


Male



Hindi,English
Hindi,English
2 Opening (s)




Good communication, Detail oriented, Basics of computer




Job Description
 




Required Good communication,Detail oriented,Basics of computer 









 APPLY NOW












"
BPO / Data Entry / Computer Operator Job in Lucknow. Lucknow,BPO / Data Entry / Computer Operator,"


Lucknow., Hazrat ganj, Hazratganj, Sahara ganj mall

₹ 10,000 to ₹ 15,000






Fresher


12th Standard
Full Time (Day)




Any Gender

Hindi,English
Hindi,English
50 Opening (s)




Domestic, Outbound, Voice, Typing speed-30 to 40 word / minute, bpo telecaller




Job Description
 




Required Domestic,Outbound,Voice,Others 









 APPLY NOW












"
Call Center Job in Uttam Nagar Delhi,Call Center,"


Uttam Nagar

₹ 5,000 to ₹ 13,000






Fresher


12th Standard
Full Time (Day)



Female


Hindi,English
Hindi,English
15 Opening (s)




Domestic, Voice, Telesales




Job Description
 




Required Domestic,Voice,Telesales 

















APPLY NOW




"
BPO / Data Entry / Computer Operator job in Bccl Township Dhanbad,BPO / Data Entry / Computer Operator,"


Bccl Township, Kankanee

₹ 14,000 to ₹ 20,000






Fresher


12th Standard
Any Timing



Female


Hindi
Hindi
15 Opening (s)




Customer support,  Domestic




Job Description
 




Required Customer support, Domestic 









 APPLY NOW












"
Urgent Opening For Sales Executive (Import / Export),Sales / Marketing,"


C G s colony

₹ 5,000 to ₹ 10,000






Fresher



Full Time (Day)






Hindi,English
Hindi,English
1 Opening (s)




Job Description
 




Required Sales / Marketing 









 APPLY NOW












"
BPO / Data Entry / Computer Operator Job in C-4 Janak puri Delhi,BPO / Data Entry / Computer Operator,"


Janak puri

₹ 5,000 to ₹ 11,000

6 Months to 1 Year


B.A.
Full Time (Night)




Any Gender

English
English
20 Opening (s)




International, Voice, Technical support




Job Description
 




Required International,Voice,Technical support 









 APPLY NOW












"
Cook / Helper Job In Kalani Nagar Airport Road Indore,Cook / Helper,"


Kalani nagar airport road

₹ 5,000 to ₹ 10,000

6 Months to 1 Year


12th Standard
Any Timing


Male



Hindi
Hindi
2 Opening (s)




Can cook-Veg, Can cook-Chinese




Job Description
 




Required Can cook-Veg,Can cook-Chinese 








 CALL NOW













"
Accountant job in C.R. building Patna,Accountant,"


C.R. building

₹ 5,000 to ₹ 10,000






Fresher


10th Standard
Full Time (Day)



Female


English
English
4 Opening (s)




MIS preparation




Job Description
 




Required MIS preparation 









 APPLY NOW












"
BPO / Data Entry / Computer Operator job in B.C. road Patna,BPO / Data Entry / Computer Operator,"


B.C. road, Bank Road

₹ 5,000 to ₹ 10,000






Fresher


Below 10th Standard
Full Time (Day)



Female


English
English
2 Opening (s)




Voice




Job Description
 




Required Voice 









 APPLY NOW












"
Counsellor job in Ayodhaya Nagar Bhopal,Counsellor,"


Ayodhaya Nagar, narela sankari

₹ 10,000 to ₹ 12,000






Fresher


12th Standard
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
10 Opening (s)




Basics of computer,  Email writing & Etiquette




Job Description
 




Required Basics of computer, Email writing & Etiquette 








 CALL NOW













"
Call Center Job in Udyog vihar Gurgaon,Call Center,"


Udyog vihar, Udyog Vihar

₹ 5,000 to ₹ 22,000

6 Months to 6 Years


12th Standard
Full Time (Day)




Any Gender

Hindi,English
English
25 Opening (s)




Domestic, International, Inbound, Outbound, Voice, Telesales, Customer support, Good communication




Job Description
 




Required Domestic,International,Inbound,Outbound,Voice,Telesales,Customer support,Good communication 

















APPLY NOW




"
Security Guard Job. ,Security Guard,"


jadavpur, Kalikapur, Gariahat Market

₹ 9,000 to ₹ 16,000






Fresher


10th Standard
Any Timing




Any Gender

Bengali,English,Hindi
Bengali,English,Hindi
20 Opening (s)




Handling Fire Extinguisher,  In / Out entry on register,  Good physical strength,  Basics of computer,  Others - Honesty and punctuality & time scene.




Job Description
 




Required Handling Fire Extinguisher, In / Out entry on register, Good physical strength, Basics of computer, Others - Honesty and punctuality & time scene.  








 CALL NOW













"
Female Personal Assistant Salary 50k Per Month,BPO / Data Entry / Computer Operator,"


Kolkatta.

₹ 50,000 to ₹ 1 Lac +






Fresher


12th Standard
With Accommodation



Female


Hindi,English
Hindi,English
10 Opening (s)




Customer support




Job Description
 




Female Personal Assistant Salary 50k Per Month 









 APPLY NOW












"
Sales Executive Job In Golf Course Road  Gur,Sales / Marketing,"


Golf course road

₹ 5,000 to ₹ 15,000






Fresher


12th Standard
Full Time (Day)


Male



Hindi,English
Hindi,English
2 Opening (s)




Field Sales, Door to door, Distributor / Dealer sales, Promoter, Good communication, Detail oriented, Good confidence level




Job Description
 




Required Field Sales,Door to door,Distributor / Dealer sales,Promoter,Good communication,Detail oriented,Good confidence level 









 APPLY NOW












"
Sales / Marketing Job in South extension Delhi,Sales / Marketing,"


South extension

₹ 10,000 to ₹ 15,000






Fresher


12th Standard
Full Time (Day)




Any Gender

English
Hindi,English
10 Opening (s)




Basics of computer, Field Sales, Good communication, Good confidence level




Job Description
 




Required Basics of computer,Field Sales,Good communication,Good confidence level 









 APPLY NOW












"
BPO / Data Entry / Computer Operator job in Lucknow. Lucknow,BPO / Data Entry / Computer Operator,"


Lucknow., A P sabha

₹ 5,000 to ₹ 10,000






Fresher


12th Standard
Any Timing


Male



Hindi
Hindi
10 Opening (s)




Inbound,  Outbound




Job Description
 




Required Inbound, Outbound 









 APPLY NOW












"
Call Center Job in Knowledge park Noida,Call Center,"


Knowledge park

₹ 12,000 to ₹ 22,000

6 Months to 1 Year


Graduation - Any Stream
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
2 Opening (s)




Domestic, International, Outbound, Voice, Telesales, Customer support, Basics of computer, Good communication, Email writing & Etiquette




Job Description
 




Required Domestic,International,Outbound,Voice,Telesales,Customer support,Basics of computer,Good communication,Email writing & Etiquette 









 APPLY NOW












"
Hand Embroidery,Tailor,"


Hampinagar

₹ 5,000 to ₹ 5,000

2 Years to 7+ Years


Below 10th Standard
Full Time (Day)


Male



Hindi,English
English,Urdu,Kannada
1 Opening (s)




Hand made Embroidery




Job Description
 




Well experienced hand made embroidery worker 








 CALL NOW













"
Trainer job in Nashik Nashik,Trainer,"


Nashik

₹ 16,000 to ₹ 27,000






Fresher


12th Standard
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
25 Opening (s)




Good communication




Job Description
 




Required Good communication 








 CALL NOW













"
